experiment,i,JGA,SUA,model_path,base,pm,lora,q,DS,repetition_penalty,beam,M
StellarDantooine,0,0.120,0.912,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,1.0,2,t
HarmoniousNevarro,0,0.101,0.908,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,1.0,1,t
DashingNevarro,0,0.114,0.908,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.6,2,t
EpicHoth,0,0.150,0.906,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.6,3,t
EnigmaticUtapau,0,0.082,0.906,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.9,3,t
BoldKamino,0,0.115,0.905,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.7,2,t
IntrepidGreef,0,0.105,0.905,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.9,2,t
MajesticFelucia,0,0.109,0.905,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.8,3,t
InfiniteAtollon,0,0.123,0.904,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,1.0,3,t
IconicDewback,0,0.111,0.903,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.8,2,t
SpectralJyn,0,0.117,0.903,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.7,3,t
ThunderousMustafar,0,0.115,0.899,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,1.0,3,t
FormidableScarif,0,0.121,0.896,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.8,3,t
MajesticBB8,0,0.140,0.894,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,1.0,2,t
MythicalHoth,0,0.117,0.894,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.9,3,t
DaringOnderon,0,0.115,0.892,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.9,2,t
ThunderousKanan,0,0.112,0.892,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.7,3,t
FormidableQuarren,0,0.112,0.891,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,1.0,1,t
PulsarPaz,0,0.114,0.890,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.7,2,t
ResilientDarthVader,0,0.097,0.887,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.8,2,t
MysticalChristophsis,0,0.131,0.887,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.6,3,t
BoldSavage,0,0.129,0.885,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.6,2,t
HeroicThyferra,0,0.114,0.885,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.2,1,h
HyperspaceThrawn,0,0.107,0.883,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.1,1,h
LegendaryQuiGon,0,0.106,0.878,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.1,1,h
EtherealVulpter,0,0.092,0.872,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.9,1,t
FormidableLeia,0,0.077,0.867,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,1.0,2,t
LuminousLandosFarm,0,0.062,0.858,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,1.0,3,t
FormidableLehon,0,0.078,0.857,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.7,3,t
StalwartVandor,0,0.098,0.856,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.9,3,t
LegendaryK2SO,0,0.085,0.853,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.7,2,t
AstralJango,0,0.062,0.851,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,1.0,1,t
CaptivatingMoff,0,0.088,0.851,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.8,2,t
MajesticVulpter,0,0.058,0.851,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.8,3,t
IconicAnakin,0,0.078,0.848,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.2,10,h
ThunderousChewbacca,0,0.069,0.846,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.9,2,t
EpicCrait,0,0.098,0.846,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.3,3,h
FormidableLothal,0,0.088,0.846,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.1,10,h
ThunderousMirial,0,0.086,0.846,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.3,10,h
WiseMygeeto,0,0.086,0.843,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.6,3,t
IconicPadmé,0,0.071,0.842,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,0.9,10,h
ResoluteVardos,0,0.085,0.841,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.0,5,h
UnchartedDQar,0,0.093,0.841,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.3,5,h
DashingAsajj,0,0.077,0.840,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.2,3,h
NobleSebulba,0,0.073,0.838,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.1,5,h
EpicJakku,0,0.084,0.837,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.6,2,t
ThunderousAthiss,0,0.074,0.837,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.0,3,h
ThunderousSebulba,0,0.085,0.836,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,0.9,5,h
MesmerizingCrait,0,0.076,0.835,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.1,5,h
SupernovaNien,0,0.086,0.835,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.2,5,h
EuphoricTatooine,0,0.067,0.834,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.1,3,h
ImmortalAhsoka,0,0.077,0.833,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.1,3,h
ResplendentLehon,0,0.067,0.832,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,0.8,10,h
SupernovaAsajj,0,0.077,0.832,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.0,10,h
IllustriousGreef,0,0.068,0.832,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.1,10,h
UntamedGideon,0,0.049,0.831,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.3,1,h
HeroicGreedo,0,0.081,0.830,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,0.9,3,h
UnconquerableExegol,0,0.072,0.828,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,1.0,1,h
ThunderousMon,0,0.070,0.828,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,0.8,5,h
RogueKit,0,0.082,0.827,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,0.8,3,h
EnigmaticEadu,0,0.123,0.817,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.8,1,t
IconicBaze,0,0.068,0.806,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.9,1,t
WondrousDarthMaul,0,0.074,0.787,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.9,1,t
WondrousDarthMaul,0,0.074,0.787,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.9,1,h
AudaciousIego,0,0.005,0.706,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.7,1,t
EmboldenedSaw,0,0.034,0.702,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,0.9,1,h
RadiantUtapau_preds,0,0.326,0.675,ex/LlamaTracker/RadiantUtapau/1,meta-llama/Llama-2-chat-hf,7b,32,nf4,,1.0,3,t
MesmerizingAlderaan_preds,0,0.674,0.667,ex/LlamaTracker/MesmerizingAlderaan/1,meta-llama/Llama-2-chat-hf,7b,32,nf4,,1.0,3,t
UnforgettableAhsoka,0,0.015,0.660,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.8,1,t
SerendipitousTauntaun,0,0.050,0.646,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.8,1,t
CelestialHan_preds,0,0.151,0.638,ex/LlamaTracker/CelestialHan/1,meta-llama/Llama-2-chat-hf,7b,32,nf4,,1.0,3,t
MysticalChewbacca_preds,0,0.327,0.623,ex/LlamaTracker/MysticalChewbacca/1,meta-llama/Llama-2-chat-hf,7b,32,nf4,,1.0,3,t
StellarBB8,0,0.004,0.604,ex/LlamaTracker/EpicMandalore/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.6,1,t
IconicVulpter_preds,0,0.497,0.567,ex/LlamaTracker/IconicVulpter/1,meta-llama/Llama-2-chat-hf,7b,32,nf4,,1.0,3,t
BewitchingThrawn,0,0.011,0.561,ex/LlamaTracker/EnormousTeth/1,meta-llama/Llama-2-chat-hf,13,32,nf4,,0.8,1,h
WiseTatooII,0,0.009,0.423,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.7,1,t
RadiantPasaana,0,0.0,0.417,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.7,1,t
MajesticCantonica,0,0.0,0.113,ex/LlamaTracker/DaringLogray/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.6,1,t
HyperspaceQuarren,0,0.002,0.041,ex/LlamaTracker/MythicalFinn/1,meta-llama/Llama-2-chat-hf,7b,8,nf4,,0.6,1,t
